pre_steps,pre_time,emission_edges,emission_mean_distance,resolved_shells,best_metric_by_aic,start_aic,emission_aic,arrival_aic,average_aic,start_r2,emission_r2,arrival_r2,average_r2
0,0.0,4,2.0,4,simulation_start_distance,-29.522206770185306,-29.522206770185306,-26.60044570483155,-29.021367724121042,0.9852693618245618,0.9852693618245618,0.9694192776842072,0.9833044984323693
10,0.35000000000000003,5,1.6884161464211271,4,emission_distance,-25.124816989224072,-26.52307926950925,-25.42110496557296,-25.836381470643026,0.9007958373541858,0.9300616314112531,0.9078785346791599,0.916962787124933
20,0.7000000000000001,7,1.2994459520375763,4,emission_distance,-29.805053288878632,-39.629465216637115,-36.53869693728009,-38.84199426682599,0.902299714887165,0.991620388983374,0.9818532121843847,0.9897971281681328
30,1.05,7,1.0668994702285115,4,emission_distance,-32.422822990497515,-38.78588299752549,-35.777092458255375,-37.17421473867869,0.9056480546968932,0.9807739354361699,0.9592088754336472,0.9712342928847165
45,1.5750000000000002,7,0.9461672678210136,4,time_averaged_propagation_distance,-33.527487997939105,-37.08671590633137,-36.98221316205084,-37.0895144694797,0.9017908057554004,0.959662044012364,0.9585943001995098,0.9596902562212837
60,2.1,7,0.8465554802449284,4,emission_distance,-34.18479031700276,-37.28258285817263,-36.98787845962922,-37.134303138230855,0.901818913000494,0.9547426329435083,0.9512823413778932,0.953033461809471
