site,arrival_time,simulation_start_distance,emission_distance,distance_at_arrival,time_averaged_propagation_distance,integrated_metric_action
1,0.008074368508318734,1.0,0.8043219481454669,0.8046306139588909,0.8044762810521788,0.006495637949417084
2,0.008958190937170119,2.0,0.8929603406030209,0.8920493037433048,0.8925048221731628,0.007995228609372256
3,0.06013843787605994,3.0,1.680924419505452,1.6796205789281387,1.6801608884876944,0.10104225121410289
4,0.09185224960851769,4.0,2.000748596936721,1.9006725144177636,1.9494056714519867,0.17905729632246792
5,0.14878056476888404,5.0,2.91444903804363,2.687724834254355,2.7993151060563517,0.41648368244513256
