site,arrival_time,initial_distance,distance_at_arrival,time_averaged_distance,integrated_metric_action
1,0.004475276292541087,1.0,0.998422195168688,0.9992110975843441,0.004471745736263174
2,0.06212527033823048,2.0,1.9777395125627386,1.9888776700529598,0.1235595629217101
3,0.14845672032879065,3.0,2.9446715555541436,2.9730057162163694,0.4413626781482295
4,0.27000810851285134,4.0,3.720976483974294,3.9205658693607472,1.058584574686138
5,0.4162368023012168,5.0,4.4268663558871815,4.794723166069836,1.995740238564475
